RecordTime,全局占用(%),extra,SimpleTime
1669278828118,50.127228,,1144.642
1669278828608,51.688313,,1145.132
1669278829131,56.144577,,1145.655
1669278829629,54.5679,,1146.153
1669278830125,50.253807,,1146.649
1669278830618,49.874687,,1147.142
1669278831140,48.994976,,1147.664
1669278831620,48.697918,,1148.144
1669278832132,50.47619,,1148.656
1669278832634,52.139038,,1149.158
1669278833136,51.184834,,1149.66
1669278833604,55.70292,,1150.128
1669278834123,66.90476,,1150.647
1669278834665,56.01852,,1151.189
1669278835126,52.12766,,1151.65
1669278835575,62.820515,,1152.099
1669278836122,62.650604,,1152.646
1669278836604,50.510204,,1153.128
1669278837133,50.119904,,1153.657
1669278837645,47.64398,,1154.169
1669278838131,54.726368,,1154.655
1669278838648,53.9801,,1155.172
1669278839116,58.80829,,1155.64
1669278839659,57.373272,,1156.183
1669278840128,53.846153,,1156.652
1669278840618,52.16346,,1157.142
1669278841126,52.811737,,1157.65
1669278841667,51.415092,,1158.191
1669278842148,51.530613,,1158.672
1669278842662,45.925926,,1159.186
1669278843110,48.793564,,1159.634
1669278843642,54.43645,,1160.166
1669278844146,57.212715,,1160.67
1669278844648,53.88601,,1161.172
1669278845147,51.958225,,1161.671
1669278845657,49.152542,,1162.181
1669278846146,48.548813,,1162.67
1669278846621,51.14504,,1163.145
1669278847157,46.79335,,1163.681
1669278847646,49.100258,,1164.17
1669278848116,49.20635,,1164.64
1669278848622,51.116627,,1165.146
1669278849134,56.264774,,1165.658
1669278849620,51.5625,,1166.144
1669278850141,54.04762,,1166.665
1669278850665,49.63145,,1167.189
1669278851173,51.463413,,1167.697
1669278851681,47.665848,,1168.205
1669278852153,50.79365,,1168.677
1669278852664,48.536587,,1169.188
1669278853161,50.0,,1169.685
1669278853638,50.132626,,1170.162
1669278854137,55.527637,,1170.661
1669278854625,55.96817,,1171.149
1669278855154,51.77305,,1171.678
1669278855662,49.394672,,1172.186
1669278856143,51.11111,,1172.667
1669278856669,45.128204,,1173.193
1669278857162,50.25,,1173.686
1669278857670,50.0,,1174.194
1669278858138,50.391644,,1174.662
1669278858646,55.121952,,1175.17
1669278859126,55.2,,1175.65
1669278859669,52.8436,,1176.193
1669278860158,43.42105,,1176.682
1669278860667,50.374065,,1177.191
1669278861144,51.767677,,1177.668
1669278861667,50.2451,,1178.191
1669278862192,48.251747,,1178.716
1669278862655,48.50136,,1179.179
1669278863127,50.89514,,1179.651
1669278863665,54.265404,,1180.189
1669278864160,50.487804,,1180.684
1669278864656,51.364765,,1181.18
