RecordTime,PSS-main-6006(MB),extra,SimpleTime
1669202334548,399.22168,,3237.361
1669202335445,399.28906,,3238.258
1669202336560,401.15234,,3239.373
1669202337392,401.05078,,3240.205
1669202338915,400.8672,,3241.728
1669202339461,399.11426,,3242.274
1669202340449,399.11035,,3243.262
1669202341525,401.11035,,3244.338
1669202342474,401.0586,,3245.287
1669202343651,401.0664,,3246.464
1669202344628,400.56738,,3247.441
1669202346145,399.09375,,3248.958
1669202347080,401.3672,,3249.893
1669202348135,401.04785,,3250.948
1669202349106,401.03516,,3251.919
1669202350081,399.18066,,3252.894
1669202351113,400.60645,,3253.926
1669202351852,399.22656,,3254.665
1669202352992,401.11914,,3255.805
1669202353884,398.36816,,3256.697
1669202354878,357.80566,,3257.691
1669202355835,396.48438,,3258.648
1669202356947,398.66895,,3259.76
1669202358012,398.4502,,3260.825
1669202358855,396.53906,,3261.668
1669202359884,398.50488,,3262.697
1669202360855,396.50098,,3263.668
1669202361920,396.58984,,3264.733
1669202363025,396.59082,,3265.838
1669202363949,396.51562,,3266.762
1669202364888,396.23828,,3267.701
1669202366020,398.46484,,3268.833
1669202366923,396.33398,,3269.736
1669202368090,398.20703,,3270.903
1669202374424,396.20312,,3277.237
1669202375937,396.2666,,3278.75
1669202376939,398.04395,,3279.752
1669202378168,396.2207,,3280.981
1669202378969,398.17188,,3281.782
1669202380532,396.35254,,3283.345
1669202381471,396.26758,,3284.284
1669202382683,396.29004,,3285.496
1669202383456,398.22656,,3286.269
1669202384474,396.60156,,3287.287
1669202385483,396.29395,,3288.296
1669202386482,357.0547,,3289.295
1669202387555,396.24805,,3290.368
1669202388539,398.26465,,3291.352
1669202389538,396.40332,,3292.351
1669202390637,349.65723,,3293.45
1669202391516,349.9121,,3294.329
1669202392589,349.64355,,3295.402
1669202393490,348.66406,,3296.303
1669202394452,348.65723,,3297.265
1669202395433,348.66113,,3298.246
1669202396579,348.71973,,3299.392
1669202397674,348.8369,,3300.487
1669202398532,349.0703,,3301.345
1669202399510,349.04883,,3302.323
1669202400590,349.10254,,3303.403
1669202401532,349.0547,,3304.345
1669202402445,349.21387,,3305.258
1669202403943,349.23828,,3306.756
1669202405051,349.24316,,3307.864
1669202406130,349.2256,,3308.943
1669202407051,349.25488,,3309.864
1669202408052,349.0381,,3310.865
1669202408956,349.23828,,3311.769
1669202410151,349.3369,,3312.964
1669202410992,349.26367,,3313.805
1669202411847,349.3037,,3314.66
1669202413314,349.28125,,3316.127
1669202413886,349.23438,,3316.699
1669202415037,349.2666,,3317.85
1669202416032,349.3047,,3318.845
1669202417012,349.36035,,3319.825
1669202417907,349.42676,,3320.72
1669202419212,349.6006,,3322.025
1669202419972,349.73047,,3322.785
1669202420904,349.6875,,3323.717
1669202422072,349.70605,,3324.885
1669202422924,349.68848,,3325.737
1669202423901,349.7373,,3326.714
1669202424971,349.7578,,3327.784
1669202426015,349.7744,,3328.828
1669202426940,349.96875,,3329.753
1669202427909,350.00684,,3330.722
1669202428866,350.1787,,3331.679
1669202429863,350.24316,,3332.676
1669202430892,350.1963,,3333.705
1669202432045,350.21973,,3334.858
1669202433072,350.20215,,3335.885
1669202434052,350.23926,,3336.865
1669202435055,350.2627,,3337.868
