RecordTime,CPUÎÂ¶È(¶È),extra,SimpleTime
1669277876618,43.8,null,193.142
1669277877118,44.2,null,193.642
1669277877619,44.2,null,194.143
1669277878121,44.6,null,194.645
1669277878621,46.1,null,195.145
1669277879121,46.1,null,195.645
1669277880122,45.7,null,196.646
1669277880622,44.6,null,197.146
1669277881122,44.9,null,197.646
1669277881622,44.9,null,198.146
1669277882123,43.4,null,198.647
1669277882623,43.4,null,199.147
1669277883123,44.2,null,199.647
1669277883623,45.7,null,200.147
1669277885125,45.3,null,201.649
1669277885625,44.6,null,202.149
1669277886125,45.3,null,202.649
1669277886626,44.6,null,203.15
1669277887127,45.3,null,203.651
1669277887628,44.2,null,204.152
1669277888128,44.2,null,204.652
1669277888628,45.7,null,205.152
1669277889128,46.5,null,205.652
1669277889628,46.1,null,206.152
1669277890129,45.7,null,206.653
1669277890629,44.2,null,207.153
1669277891134,45.3,null,207.658
1669277891637,44.9,null,208.161
1669277892637,44.2,null,209.161
1669277893137,44.2,null,209.661
1669277893637,46.1,null,210.161
1669277894137,47.3,null,210.661
1669277894638,46.5,null,211.162
1669277895138,44.9,null,211.662
1669277895642,44.6,null,212.166
1669277896639,44.6,null,213.163
1669277897139,44.6,null,213.663
1669277897639,44.6,null,214.163
1669277898139,43.8,null,214.663
1669277898639,46.1,null,215.163
1669277899140,47.7,null,215.664
1669277899644,46.1,null,216.168
1669277900641,44.9,null,217.165
1669277901141,45.3,null,217.665
1669277901643,43.8,null,218.167
1669277902642,44.9,null,219.166
1669277903146,43.4,null,219.67
1669277904146,46.9,null,220.67
1669277905146,45.3,null,221.67
1669277905646,44.2,null,222.17
1669277906146,45.3,null,222.67
1669277906647,44.6,null,223.171
1669277907147,44.6,null,223.671
1669277907647,44.6,null,224.171
1669277908147,44.9,null,224.671
1669277908648,45.3,null,225.172
1669277909148,46.9,null,225.672
1669277909649,47.3,null,226.173
1669277910149,44.9,null,226.673
1669277910649,44.9,null,227.173
1669277911150,44.6,null,227.674
1669277911650,44.9,null,228.174
1669277912154,44.6,null,228.678
1669277912655,44.6,null,229.179
1669277913156,43.4,null,229.68
1669277914155,46.5,null,230.679
1669277914656,46.1,null,231.18
1669277915157,46.1,null,231.681
1669277915657,44.9,null,232.181
1669277916162,44.2,null,232.686
1669277917160,43.8,null,233.684
1669277917661,44.2,null,234.185
1669277918162,43.4,null,234.686
1669277918663,46.5,null,235.187
1669277919164,46.9,null,235.688
1669277919664,45.7,null,236.188
1669277920165,45.7,null,236.689
1669277920665,45.3,null,237.189
1669277921167,44.9,null,237.691
1669277921668,44.9,null,238.192
1669277922170,44.9,null,238.694
1669277923173,44.9,null,239.697
1669277923674,43.8,null,240.198
1669277924174,44.2,null,240.698
1669277924675,44.6,null,241.199
1669277925176,44.9,null,241.7
1669277925676,44.9,null,242.2
1669277926176,44.9,null,242.7
1669277926676,44.2,null,243.2
1669277927176,43.8,null,243.7
1669277927677,43.8,null,244.201
1669277928177,44.9,null,244.701
1669277928677,44.6,null,245.201
1669277929178,43.8,null,245.702
1669277929678,46.1,null,246.202
1669277930178,47.7,null,246.702
1669277930681,46.1,null,247.205
1669277931679,46.9,null,248.203
1669277932180,46.9,null,248.704
1669277932682,45.7,null,249.206
1669277933185,45.3,null,249.709
1669277933685,44.6,null,250.209
1669277934185,44.9,null,250.709
1669277934685,44.6,null,251.209
1669277935186,44.2,null,251.71
1669277935686,44.2,null,252.21
1669277936187,46.5,null,252.711
1669277936690,45.7,null,253.214
1669277937191,46.5,null,253.715
1669277938189,44.9,null,254.713
1669277938689,46.5,null,255.213
1669277939189,46.5,null,255.713
1669277939693,46.1,null,256.217
1669277941192,47.3,null,257.716
1669277941693,50.0,null,258.217
1669277942194,49.6,null,258.718
1669277942695,46.5,null,259.219
1669277943694,46.9,null,260.218
1669277944194,45.7,null,260.718
1669277944694,45.3,null,261.218
1669277945196,46.1,null,261.72
1669277946196,45.7,null,262.72
1669277946697,45.7,null,263.221
1669277947197,45.7,null,263.721
1669277947697,45.3,null,264.221
1669277948198,44.6,null,264.722
1669277949198,44.9,null,265.722
1669277949698,45.3,null,266.222
1669277950198,45.7,null,266.722
1669277950699,44.2,null,267.223
1669277951199,46.1,null,267.723
1669277951699,46.5,null,268.223
1669277952199,46.5,null,268.723
1669277952699,45.7,null,269.223
1669277953201,45.3,null,269.725
1669277953702,45.3,null,270.226
1669277954202,45.3,null,270.726
1669277954703,44.2,null,271.227
1669277955203,44.2,null,271.727
1669277955703,44.2,null,272.227
1669277956203,47.3,null,272.727
1669277956703,48.0,null,273.227
1669277957205,48.0,null,273.729
1669277957705,47.3,null,274.229
1669277958205,46.5,null,274.729
1669277958705,47.3,null,275.229
1669277959206,45.7,null,275.73
1669277959708,45.7,null,276.232
1669277960711,46.5,null,277.235
1669277961710,47.7,null,278.234
1669277962211,46.1,null,278.735
1669277962713,46.5,null,279.237
1669277963717,46.9,null,280.241
1669277964713,46.5,null,281.237
1669277965213,45.3,null,281.737
1669277965714,46.1,null,282.238
1669277966214,46.5,null,282.738
1669277966714,48.0,null,283.238
1669277967221,46.9,null,283.745
1669277968218,45.7,null,284.742
1669277968720,45.7,null,285.244
1669277969220,45.3,null,285.744
1669277969721,45.7,null,286.245
1669277970221,45.3,null,286.745
1669277970721,44.2,null,287.245
1669277971222,46.1,null,287.746
1669277971726,47.7,null,288.25
1669277972725,46.5,null,289.249
1669277973226,46.1,null,289.75
1669277973727,44.9,null,290.251
1669277974728,44.6,null,291.252
1669277975228,44.9,null,291.752
1669277975728,44.9,null,292.252
1669277976229,47.7,null,292.753
1669277976729,47.7,null,293.253
1669277977229,46.9,null,293.753
1669277977730,44.9,null,294.254
1669277978230,45.7,null,294.754
1669277978730,45.3,null,295.254
1669277979230,44.2,null,295.754
1669277979735,45.3,null,296.259
1669277980733,44.2,null,297.257
1669277981233,46.9,null,297.757
1669277981734,45.7,null,298.258
1669277982237,47.3,null,298.761
1669277982737,45.7,null,299.261
1669277983241,45.3,null,299.765
1669277984241,45.7,null,300.765
1669277985241,47.3,null,301.765
1669277986239,48.4,null,302.763
1669277986741,48.4,null,303.265
1669277987241,46.5,null,303.765
1669277987741,47.7,null,304.265
1669277988241,47.7,null,304.765
1669277988743,47.7,null,305.267
1669277989243,48.0,null,305.767
1669277989743,47.7,null,306.267
1669277990243,47.7,null,306.767
1669277991245,48.4,null,307.769
1669277991745,50.4,null,308.269
1669277992246,47.7,null,308.77
1669277992746,47.7,null,309.27
1669277993246,46.5,null,309.77
1669277993747,46.5,null,310.271
1669277994746,46.1,null,311.27
1669277995247,46.1,null,311.771
1669277996249,49.6,null,312.773
1669277996749,46.9,null,313.273
1669277997249,46.9,null,313.773
1669277997750,46.9,null,314.274
1669277998750,46.9,null,315.274
1669277999253,48.0,null,315.777
1669278000253,46.5,null,316.777
1669278000754,46.5,null,317.278
1669278001755,49.6,null,318.279
1669278002255,49.6,null,318.779
1669278003254,47.3,null,319.778
1669278003755,47.7,null,320.279
1669278004257,47.3,null,320.781
1669278004757,49.6,null,321.281
1669278005258,47.7,null,321.782
1669278005758,46.5,null,322.282
1669278006258,48.0,null,322.782
1669278006758,48.0,null,323.282
1669278007258,46.9,null,323.782
1669278007759,46.5,null,324.283
1669278008259,46.1,null,324.783
1669278008762,46.5,null,325.286
1669278009760,46.1,null,326.284
1669278010260,46.5,null,326.784
1669278010763,45.3,null,327.287
1669278011761,46.9,null,328.285
1669278012262,45.7,null,328.786
1669278012762,46.1,null,329.286
1669278013262,45.3,null,329.786
1669278013763,45.7,null,330.287
1669278014263,45.7,null,330.787
