RecordTime,应用进程-main-29179(%),extra,SimpleTime
1669280305170,17.195766,,2621.694
1669280305582,17.705736,,2622.106
1669280306131,18.62245,,2622.655
1669280306677,19.239906,,2623.201
1669280307160,17.577196,,2623.684
1669280307677,19.060053,,2624.201
1669280308166,18.351063,,2624.69
1669280308667,17.369728,,2625.191
1669280309132,16.41791,,2625.656
1669280309619,18.387909,,2626.143
1669280310027,7.0821533,,2626.551
1669280310523,6.467662,,2627.047
1669280311099,9.839817,,2627.623
1669280311627,15.920398,,2628.151
1669280312078,13.471502,,2628.602
1669280312649,11.510792,,2629.173
1669280313125,12.771085,,2629.649
1669280313601,15.968587,,2630.125
1669280314141,12.383178,,2630.665
1669280314649,10.103627,,2631.173
1669280315082,17.142859,,2631.606
1669280315595,17.073172,,2632.119
1669280316112,11.192214,,2632.636
1669280316628,11.707317,,2633.152
1669280317147,21.83623,,2633.671
1669280317536,13.812155,,2634.06
1669280318024,10.026385,,2634.548
1669280318625,14.221218,,2635.149
1669280319138,16.0401,,2635.662
1669280319612,17.098446,,2636.136
1669280320157,16.976744,,2636.681
1669280320661,0.0,,2637.185
1669280321163,0.0,,2637.687
1669280321633,18.97019,,2638.157
1669280322150,19.458128,,2638.674
1669280322660,18.952618,,2639.184
1669280323200,17.574259,,2639.724
1669280323703,16.870415,,2640.227
1669280324095,19.15493,,2640.619
1669280324692,19.036144,,2641.216
1669280325147,19.473684,,2641.671
1669280325673,17.414248,,2642.197
1669280326169,17.1875,,2642.693
1669280326669,0.0,,2643.193
1669280327209,0.0,,2643.733
1669280327670,16.786572,,2644.194
1669280328171,17.056074,,2644.695
1669280328691,16.755318,,2645.215
1669280329163,20.293398,,2645.687
1669280329624,19.160105,,2646.148
1669280330173,18.29897,,2646.697
1669280330717,18.796993,,2647.241
1669280331170,17.073172,,2647.694
1669280331644,16.414143,,2648.168
1669280332185,16.585367,,2648.709
1669280332637,17.015707,,2649.161
1669280333192,17.31266,,2649.716
1669280333614,15.544042,,2650.138
1669280334151,14.578006,,2650.675
1669280334687,16.252821,,2651.211
1669280335097,0.0,,2651.621
1669280335611,0.0,,2652.135
1669280336155,17.72152,,2652.679
1669280336673,19.239906,,2653.197
1669280337199,18.29574,,2653.723
1669280337686,18.85856,,2654.21
1669280338188,18.826406,,2654.712
1669280338655,17.31266,,2655.179
1669280339189,17.874395,,2655.713
1669280339711,19.047619,,2656.235
1669280340101,17.50663,,2656.625
1669280340670,19.660194,,2657.194
1669280341167,17.438692,,2657.691
1669280341726,18.00948,,2658.25
1669280342193,19.41032,,2658.717
1669280342721,18.203882,,2659.245
1669280343168,18.844221,,2659.692
1669280343688,18.387909,,2660.212
1669280339711,19.047619,,2656.235
1669280340101,17.50663,,2656.625
1669280340670,19.660194,,2657.194
1669280341167,17.438692,,2657.691
1669280341726,18.00948,,2658.25
1669280342193,19.41032,,2658.717
1669280342721,18.203882,,2659.245
1669280343168,18.844221,,2659.692
1669280343688,18.387909,,2660.212
1669280344199,14.962594,,2660.723
1669280344751,15.000001,,2661.275
1669280345150,19.680851,,2661.674
1669280345713,19.354837,,2662.237
1669280346207,18.390804,,2662.731
1669280346710,18.229168,,2663.234
1669280347170,18.796993,,2663.694
1669280347692,19.809069,,2664.216
1669280348210,18.32884,,2664.734
1669280348696,17.741936,,2665.22
1669280349170,14.841848,,2665.694
1669280349651,17.349398,,2666.175
1669280350233,19.693094,,2666.757
1669280350708,17.840376,,2667.232
1669280351181,18.306011,,2667.705
1669280351755,20.537897,,2668.279
1669280352163,17.941954,,2668.687
1669280352681,18.592964,,2669.205
1669280353172,19.951338,,2669.696
1669280353670,18.487396,,2670.194
1669280354211,15.085157,,2670.735
1669280354678,15.422885,,2671.202
1669280355209,20.04831,,2671.733
1669280355654,19.379845,,2672.178
1669280356197,18.651686,,2672.721
1669280356687,18.716578,,2673.211
1669280357167,18.703241,,2673.691
1669280357579,15.469614,,2674.103
1669280358067,6.203474,,2674.591
1669280358617,10.688836,,2675.141
1669280359115,13.432837,,2675.639
1669280359650,11.583924,,2676.174
1669280360217,14.022988,,2676.741
1669280360687,16.272966,,2677.211
1669280361176,19.854721,,2677.7
1669280361705,18.115942,,2678.229
1669280362160,14.545454,,2678.684
1669280362652,17.512691,,2679.176
1669280363177,11.845102,,2679.701
1669280363683,10.741689,,2680.207
1669280364211,9.693877,,2680.735
1669280364732,9.75,,2681.256
1669280365181,15.0753765,,2681.705
1669280365706,12.619048,,2682.23
1669280366176,14.285715,,2682.7
1669280366671,10.8910885,,2683.195
1669280367192,11.407767,,2683.716
1669280367680,10.75,,2684.204
1669280368180,11.335012,,2684.704
1669280368669,10.784314,,2685.193
1669280369133,12.664908,,2685.657
1669280369701,11.007026,,2686.225
1669280370205,12.195122,,2686.729
1669280370670,11.749348,,2687.194
1669280371204,12.530121,,2687.728
1669280371675,12.953368,,2688.199
1669280372163,11.084337,,2688.687
1669280372669,10.513447,,2689.193
1669280373192,12.219451,,2689.716
1669280373681,10.539216,,2690.205
1669280374183,9.137056,,2690.707
1669280374672,9.181141,,2691.196
1669280375189,11.278195,,2691.713
1669280375671,11.735942,,2692.195
1669280376175,11.547912,,2692.699
1669280376706,11.893204,,2693.23
1669280377170,12.144703,,2693.694
1669280377702,11.111112,,2694.226
1669280378170,11.111112,,2694.694
1669280378722,10.723192,,2695.246
1669280379171,12.403101,,2695.695
1669280379792,11.847389,,2696.316
1669280380187,11.214952,,2696.711
1669280380696,11.471321,,2697.22
1669280381204,11.650486,,2697.728
1669280381727,12.690355,,2698.251
1669280382167,12.596401,,2698.691
1669280382706,11.084906,,2699.23
1669280383211,10.97561,,2699.735
1669280383698,10.12987,,2700.222
1669280384177,11.7794485,,2700.701
1669280384709,9.803922,,2701.233
1669280385200,11.510792,,2701.724
1669280385680,11.027569,,2702.204
1669280386168,10.969388,,2702.692
1669280386689,11.188811,,2703.213
1669280387206,10.739857,,2703.73
1669280387710,11.246943,,2704.234
1669280388197,11.081794,,2704.721
1669280388709,10.941476,,2705.233
1669280389182,9.535452,,2705.706
1669280389726,10.538641,,2706.25
1669280390194,12.182741,,2706.718
1669280390691,11.7794485,,2707.215
1669280391204,12.195122,,2707.728
1669280391743,12.142858,,2708.267
1669280392189,12.0,,2708.713
1669280392687,13.546798,,2709.211
1669280393210,11.864407,,2709.734
1669280393709,10.4325695,,2710.233
1669280394207,9.701492,,2710.731
1669280394708,9.296482,,2711.232
1669280395208,11.970075,,2711.732
1669280395707,10.679611,,2712.231
1669280396208,11.7794485,,2712.732
1669280396675,11.764706,,2713.199
1669280397206,11.764706,,2713.73
1669280397711,11.298077,,2714.235
1669280398194,13.2992325,,2714.718
1669280398733,10.606061,,2715.257
1669280399207,8.801956,,2715.731
1669280399726,11.166253,,2716.25
1669280400186,12.087913,,2716.71
1669280400676,8.933002,,2717.2
1669280401209,10.287082,,2717.733
1669280401711,10.25,,2718.235
1669280402189,10.290237,,2718.713
1669280402693,9.620253,,2719.217
1669280403187,10.344828,,2719.711
1669280403679,10.353536,,2720.203
1669280404185,10.791367,,2720.709
1669280404711,10.687022,,2721.235
1669280405192,11.98044,,2721.716
1669280405726,11.056511,,2722.25
1669280406188,10.757946,,2722.712
1669280406706,10.696518,,2723.23
1669280407209,12.285012,,2723.733
1669280407725,12.373737,,2724.249
1669280408224,11.868687,,2724.748
1669280408706,10.97561,,2725.23
1669280409206,10.997442,,2725.73
1669280409713,11.358025,,2726.237
1669280410207,13.92405,,2726.731
1669280410725,11.604938,,2727.249
1669280411199,11.42132,,2727.723
1669280411726,12.37864,,2728.25
